title,description
"PM 'low-key,' 'respectful': B.C. ski resort addresses 'misinformation' over Trudeau vacation","The B.C. ski resort where Prime Minister Justin Trudeau holidayed with his family after Christmas says it was ""disappointing"" to see what it describes as misinf..."
"Canada-U.S. summit to tackle interprovincial trade, exports: Trudeau - National","The Prime Minister's Office says the event will assemble Canadian trade and business leaders, along with organized labour, to discuss strategies to grow the eco..."
Katy Perry shares first post since PDA with Justin Trudeau goes viral,"Katy Perry shares her first post on social media since viral photos with Justin Trudeau, sparking rumors of a new romance. Read more about Katy's latest update ..."
Chrystia Freeland quits cabinet and slags Trudeau for 'costly political gimmicks',"In a resignation letter posted to social media, she said Prime Minister Justin Trudeau offered her another role in cabinet on Friday, but that the only ""honest ..."
"Tariffs: Trudeau must ‘reassure’ Donald Trump with a plan, says Legault",
Justin Trudeau says he will not run for re-election in his Montreal riding,"Trudeau, who has said he will step down as Liberal leader when a new leader is chosen, was first elected in his Montreal riding in 2008"
Trump renews his offer of making Canada 51st state of U.S. after Trudeau resigns,"U.S. President-elect Donald Trump renews offer to make Canada the 51st state, sparking controversy and uncertainty in Canada."
Can Trudeau survive Freeland's resignation?,"A scathing resignation letter has triggered an unprecedented leadership crisis for Prime Minister Justin Trudeau. What triggered it, and can he hang on as leade..."
Justin Trudeau resigns. What’s next?,Prime Minister Justin Trudeau has announced he will resign and has prorogued Parliament until March 24. He will stay on as leader and Prime Minister until the L...
President Sheinbaum: Prime Minister Trudeau supports keeping USMCA intact,President Sheinbaum said Wednesday that Justin Trudeau assured her at the G20 summit that he doesn't agree with calls to end the USMCA.
U.S. President Donald Trump is dead serious about a takeover of Canada: Trudeau,"The prime minister said the Trump administration knows what critical minerals Canada has and ""that may be even why they keep talking about absorbing us and maki..."
Trudeau jokes that Liberal party is like a family that ‘fights around the holidays’,"With his political world seemingly crumbling around him, Justin Trudeau proved that one thing is still intact — his sense of humour. In the midst of high-prof..."
"Poilievre blasts ‘despicable’ RCMP leadership, accuses Mounties of covering up for Trudeau","Conservative Leader Pierre Poilievre took aim at the RCMP’s independence in a recent interview, calling the national police force’s ""despicable"" leadership ..."
Justin Trudeau dating Katy Perry: Why we love Mills & Boons yacht romances,"Rest of World News: Explore the surreal love story of Justin Trudeau and Katy Perry on a yacht, capturing the fusion of politics and pop culture. Discover the i..."
LeBlanc says he ‘respects the views’ of NB MPs calling for Trudeau resignation,Finance Minister Dominic LeBlanc says Prime Minister Justin Trudeau listened carefully when some Liberal MPs directly expressed to him that he should resign and...
Trump Reveals He Had 'Productive Meeting' with Trudeau at Mar-a-Lago,"President-elect Donald Trump revealed that he had a ""very productive meeting"" with Canadian Prime Minister Justin Trudeau at Mar-a-Lago."
"Trump pauses tariffs on Canada for at least 30 days, Trudeau says",Trump agreed to delay tariffs on Canada and Mexico after their leaders agreed to measures to stop the flow of the opioid fentanyl into the United States.
